School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
4564,BANKE,67031,PRABHAT MA VI ARONIKONAGAR,30.8,36.5,23.7,20.3,30.3,34.5,117,117,0,1,13,10,24,93,20.51
4565,BANKE,67032,RAM MA VI BAIJANATHPUR,19.6,35.9,23.2,22.6,21.8,22.9,53,53,0,0,6,2,8,45,15.09
4566,BANKE,67033,BRIGHTLAND HIGH SCHOOL SURKHET ROAD NEPAL,57.2,59.6,57.1,37.4,51.2,47.7,64,64,0,46,15,0,61,3,95.31
4567,BANKE,67034,RAM JANAKI BOARDING MA VI KOHALPUR,49,62.6,66.4,33.7,55.3,50.8,68,68,2,53,11,0,66,2,97.06
4568,BANKE,67035,BUDDHA ENGLISH MA VI DHAMBOJI,55.3,54.1,64.5,33.7,47.6,43,17,17,0,11,5,0,16,1,94.12
4569,BANKE,67036,SHUKRA MA VI GAUNFARKA,21.2,52.4,28.2,28.5,38.6,33.8,64,64,0,1,17,1,19,45,29.69
4570,BANKE,67037,SARASWATI MA VI BHAWANIYAPUR,27,40.7,22.8,20.1,27.2,29.8,56,54,0,0,7,8,15,39,27.78
4571,BANKE,67038,ST.THOMAS ENGLISH MEDIUM SCHOOL DHAMBOJI,50.4,53.6,32.6,40,50.7,45.6,25,25,0,7,14,0,21,4,84
4572,BANKE,67039,GYANJYOTI MA VI CHAPARGAUNDHI KOHALPUR,23.8,39.1,23.6,25.7,33.3,40.4,191,191,0,7,41,6,54,136,28.27
4573,BANKE,67040,GYANODAYA MA VI KHAJURABAJAR,33.8,60.1,39.2,33,47.8,37.4,128,126,0,24,65,1,90,35,71.43
4574,BANKE,67041,WEST ZONE ENGLISH MEDIUM HIGH SCHOOL NEPA,56.4,47.1,63.2,41.6,49.7,44.9,35,35,0,22,11,0,33,2,94.29
4575,BANKE,67042,SHAHID SMARAK MA VI KAMDI,20,25.6,15.2,16.1,26.1,27.1,40,40,0,0,2,0,2,38,5
4576,BANKE,67043,BAL JYOTI ENGLISH MA VI KOHALPUR,53.8,55.1,59.8,44.7,52.8,56,24,24,2,14,5,0,21,3,87.5
4577,BANKE,67044,EVEREST SAINIK AWASIYA MA VI DHUMBOJHI,49.8,50.4,38.8,39.9,50.5,44.2,19,19,0,6,7,0,13,6,68.42
